OP_Name,Instance,Status,ColorTime,LabellingTime,UsingMIP,UsingPolyColors,Notes,TotalTime,Solution
OP(19),0,Solved,0.0001,0.0200,false,true,OP(3),0.4077,"(\infty, (0,1), (8,2), (1,2), (8,1), (2,1), (7,2), (6,2), (3,1), (4,1), (4,2), (0,2), (5,1), (7,1), (5,2), (2,2), (1,1), (6,1), (3,2)) "
"OP(3,16)",0,Solved,0.0000,0.0400,false,true,OP(3),0.0412,"(\infty, (2,2), (2,1)) ((6,2), (4,2), (5,1), (4,1), (7,2), (3,2), (7,1), (3,1), (5,2), (8,2), (1,1), (8,1), (0,2), (1,2), (6,1), (0,1)) "
"OP(15,4)",0,Solved,0.0000,0.0300,false,true,OP(3),0.0441,"(\infty, (0,1), (3,2), (1,2), (3,1), (8,1), (7,2), (4,2), (7,1), (1,1), (6,2), (2,2), (2,1), (4,1), (5,2)) ((0,2), (8,2), (6,1), (5,1)) "
"OP(5,14)",0,Solved,0.0000,0.0400,false,true,"OP(5,6)",0.0762,"(\infty, (0,1), (6,1), (8,1), (7,2)) ((4,2), (0,2), (2,1), (7,1), (1,2), (8,2), (4,1), (5,1), (2,2), (5,2), (6,2), (1,1), (3,2), (3,1)) "
"OP(13,6)",0,Solved,0.0000,0.0400,false,true,"OP(5,6)",0.0470,"(\infty, (8,1), (0,1), (6,1), (3,2), (7,2), (2,1), (7,1), (2,2), (0,2), (1,1), (3,1), (1,2)) ((5,1), (8,2), (5,2), (4,2), (4,1), (6,2)) "
"OP(3,3,13)",0,Solved,0.0002,0.0600,false,true,OP(3),0.0741,"(\infty, (2,2), (7,1)) ((2,1), (3,2), (0,2)) ((7,2), (6,2), (4,2), (8,1), (5,2), (1,2), (1,1), (6,1), (8,2), (0,1), (3,1), (5,1), (4,1)) "
"OP(7,12)",0,Solved,0.0003,0.0400,false,true,OP(3),0.0489,"(\infty, (6,1), (6,2), (4,2), (0,1), (1,1), (7,2)) ((0,2), (1,2), (2,1), (4,1), (2,2), (5,2), (3,1), (7,1), (3,2), (8,2), (5,1), (8,1)) "
"OP(3,4,12)",0,Solved,0.0000,0.0100,false,true,OP(3),0.0185,"(\infty, (6,2), (6,1)) ((2,2), (3,2), (7,1), (5,1)) ((5,2), (0,2), (2,1), (1,1), (4,2), (7,2), (8,1), (4,1), (8,2), (1,2), (0,1), (3,1)) "
"OP(11,8)",0,Solved,0.0000,0.0300,false,true,OP(3),0.0326,"(\infty, (7,1), (7,2), (3,2), (0,1), (3,1), (4,2), (6,2), (1,1), (8,1), (1,2)) ((2,2), (5,2), (6,1), (2,1), (0,2), (8,2), (4,1), (5,1)) "
"OP(3,5,11)",0,Solved,0.0001,0.0500,false,true,OP(3),0.0475,"(\infty, (3,1), (3,2), (0,2), (1,2), (8,1), (2,2), (7,2), (2,1), (6,1), (4,2)) ((7,1), (5,1), (4,1), (5,2), (1,1)) ((0,1), (8,2), (6,2)) "
"OP(11,4,4)",0,Solved,0.0000,0.0300,false,true,OP(3),0.0333,"(\infty, (6,1), (6,2), (4,2), (0,1), (1,1), (3,2), (7,2), (2,1), (4,1), (1,2)) ((5,2), (2,2), (3,1), (7,1)) ((0,2), (8,2), (5,1), (8,1)) "
"OP(9,10)",0,Solved,0.0000,0.0400,false,true,"OP(5,6)",0.0450,"(\infty, (1,1), (2,1), (8,1), (7,2), (1,2), (7,1), (5,1), (0,2)) ((4,2), (5,2), (0,1), (4,1), (2,2), (6,2), (8,2), (6,1), (3,2), (3,1)) "
