OP_Name,Instance,Status,ColorTime,LabellingTime,UsingMIP,UsingPolyColors,Notes,TotalTime,Solution
OP(31),0,Solved,0.0024,0.1200,false,true,OP(3),0.2584,"(\infty, (1,1), (14,2), (2,2), (13,1), (5,1), (6,2), (8,2), (8,1), (4,1), (9,2), (4,2), (7,1), (2,1), (10,2), (11,2), (12,1), (14,1), (1,2), (5,2), (10,1), (11,1), (7,2), (0,2), (9,1), (0,1), (3,2), (12,2), (3,1), (6,1), (13,2)) "
"OP(3,28)",0,Solved,0.0000,0.1700,false,true,OP(3),0.1788,"(\infty, (5,2), (0,1)) ((6,2), (12,2), (12,1), (7,1), (8,2), (3,2), (14,1), (8,1), (11,2), (0,2), (13,1), (11,1), (9,2), (7,2), (1,1), (5,1), (1,2), (4,2), (10,1), (2,1), (10,2), (2,2), (3,1), (4,1), (14,2), (13,2), (6,1), (9,1)) "
"OP(27,4)",0,Solved,0.0000,0.2700,false,true,OP(3),0.2797,"(\infty, (10,1), (5,2), (3,2), (7,1), (3,1), (12,2), (8,2), (11,1), (13,1), (4,2), (1,2), (0,1), (6,1), (9,2), (2,2), (9,1), (14,1), (14,2), (0,2), (1,1), (2,1), (6,2), (11,2), (4,1), (12,1), (10,2)) ((13,2), (7,2), (5,1), (8,1)) "
"OP(5,26)",0,Solved,0.0000,0.6700,false,true,"OP(5,6)",0.6788,"(\infty, (12,1), (14,1), (5,1), (2,2)) ((1,2), (3,2), (8,1), (0,1), (5,2), (13,2), (11,1), (1,1), (0,2), (14,2), (10,1), (9,1), (12,2), (8,2), (7,1), (4,1), (11,2), (6,2), (6,1), (2,1), (10,2), (4,2), (7,2), (13,1), (9,2), (3,1)) "
"OP(25,6)",0,Solved,0.0000,0.8500,false,true,"OP(5,6)",0.8607,"(\infty, (13,1), (12,1), (7,1), (14,2), (1,2), (6,1), (2,1), (2,2), (7,2), (4,1), (1,1), (10,2), (11,2), (14,1), (8,1), (4,2), (8,2), (9,1), (11,1), (12,2), (5,2), (3,1), (10,1), (0,2)) ((5,1), (9,2), (3,2), (6,2), (0,1), (13,2)) "
"OP(3,3,25)",0,Solved,0.0000,0.3500,false,true,OP(3),0.3620,"(\infty, (9,2), (8,1)) ((13,1), (11,2), (13,2)) ((8,2), (1,2), (5,2), (0,1), (10,2), (4,2), (11,1), (7,1), (14,2), (0,2), (1,1), (6,1), (2,2), (12,2), (9,1), (12,1), (6,2), (3,2), (14,1), (5,1), (7,2), (10,1), (3,1), (4,1), (2,1)) "
"OP(7,24)",0,Solved,0.0001,0.0900,false,true,OP(3),0.0966,"(\infty, (4,1), (11,2), (9,2), (7,1), (2,1), (14,2)) ((6,2), (1,2), (0,1), (9,1), (8,2), (0,2), (12,1), (8,1), (12,2), (3,2), (3,1), (5,1), (13,2), (2,2), (11,1), (10,1), (5,2), (4,2), (6,1), (14,1), (10,2), (7,2), (13,1), (1,1)) "
"OP(3,4,24)",0,Solved,0.0000,0.1300,false,true,OP(3),0.1322,"(\infty, (1,2), (4,1)) ((11,2), (9,2), (5,1), (6,1)) ((5,2), (8,2), (7,1), (0,1), (13,2), (6,2), (10,1), (1,1), (3,2), (7,2), (8,1), (12,1), (0,2), (14,2), (14,1), (2,1), (10,2), (4,2), (9,1), (11,1), (2,2), (12,2), (3,1), (13,1)) "
"OP(23,8)",0,Solved,0.0001,0.1000,false,true,OP(3),0.1008,"(\infty, (9,1), (10,2), (4,2), (5,1), (2,1), (7,2), (5,2), (11,1), (0,1), (2,2), (6,2), (3,1), (8,1), (8,2), (0,2), (7,1), (14,1), (12,2), (9,2), (13,1), (12,1), (3,2)) ((1,2), (11,2), (1,1), (10,1), (14,2), (13,2), (6,1), (4,1)) "
"OP(3,5,23)",0,Solved,0.0000,0.5100,false,true,OP(3),0.5096,"(\infty, (3,1), (8,2), (10,2), (11,2), (10,1), (12,2), (4,2), (5,1), (7,1), (1,2), (6,2), (9,1), (14,1), (3,2), (7,2), (1,1), (0,1), (0,2), (9,2), (13,1), (6,1), (13,2)) ((11,1), (8,1), (12,1), (5,2), (2,1)) ((4,1), (2,2), (14,2)) "
"OP(23,4,4)",0,Solved,0.0000,0.1200,false,true,OP(3),0.1247,"(\infty, (4,1), (1,2), (6,2), (5,1), (6,1), (11,2), (3,2), (7,1), (0,1), (13,2), (2,2), (10,1), (1,1), (9,2), (12,2), (8,1), (12,1), (0,2), (14,2), (14,1), (2,1), (8,2)) ((10,2), (4,2), (9,1), (11,1)) ((7,2), (5,2), (3,1), (13,1)) "
