OP_Name,Instance,Status,ColorTime,LabellingTime,UsingMIP,UsingPolyColors,Notes,TotalTime,Solution
OP(27),0,Solved,0.0022,0.1100,false,true,OP(3),0.2418,"(\infty, (3,1), (6,2), (12,2), (11,1), (7,1), (1,2), (11,2), (9,1), (4,1), (4,2), (2,2), (10,1), (8,1), (5,2), (0,2), (1,1), (0,1), (9,2), (8,2), (2,1), (5,1), (3,2), (7,2), (12,1), (6,1), (10,2)) "
"OP(3,24)",0,Solved,0.0000,0.0900,false,true,OP(3),0.1034,"(\infty, (2,2), (0,1)) ((5,2), (7,2), (1,1), (2,1), (12,2), (11,2), (3,1), (9,1), (8,2), (4,2), (4,1), (12,1), (0,2), (10,2), (5,1), (7,1), (3,2), (9,2), (6,1), (10,1), (1,2), (6,2), (8,1), (11,1)) "
"OP(23,4)",0,Solved,0.0000,0.0400,false,true,OP(3),0.0464,"(\infty, (3,1), (2,2), (4,2), (1,1), (8,1), (6,2), (11,2), (4,1), (0,1), (0,2), (3,2), (11,1), (9,1), (5,2), (12,2), (6,1), (7,1), (8,2), (9,2), (5,1), (10,1), (7,2)) ((1,2), (10,2), (2,1), (12,1)) "
"OP(5,22)",0,Solved,0.0000,0.2100,false,true,"OP(5,6)",0.2183,"(\infty, (5,1), (1,1), (8,1), (9,2)) ((11,2), (2,2), (12,1), (7,1), (1,2), (3,2), (6,1), (3,1), (12,2), (6,2), (4,1), (2,1), (7,2), (10,2), (10,1), (11,1), (4,2), (5,2), (0,2), (9,1), (8,2), (0,1)) "
"OP(21,6)",0,Solved,0.0000,0.0900,false,true,"OP(5,6)",0.0992,"(\infty, (6,1), (11,1), (4,1), (10,2), (4,2), (8,1), (12,1), (9,2), (11,2), (0,1), (10,1), (5,2), (1,2), (1,1), (2,1), (6,2), (7,2), (5,1), (3,1), (2,2)) ((9,1), (3,2), (0,2), (8,2), (7,1), (12,2)) "
"OP(3,3,21)",0,Solved,0.0002,0.2200,false,true,OP(3),0.2251,"(\infty, (3,2), (4,1)) ((3,1), (12,2), (6,2)) ((9,2), (11,2), (1,2), (12,1), (4,2), (0,2), (6,1), (7,1), (7,2), (8,2), (10,1), (1,1), (5,2), (10,2), (2,1), (9,1), (2,2), (5,1), (0,1), (11,1), (8,1)) "
"OP(7,20)",0,Solved,0.0001,0.0700,false,true,OP(3),0.0759,"(\infty, (6,1), (0,2), (11,2), (7,1), (5,1), (2,2)) ((6,2), (9,2), (10,1), (4,1), (12,2), (4,2), (12,1), (9,1), (7,2), (8,2), (8,1), (3,1), (5,2), (1,2), (11,1), (2,1), (3,2), (10,2), (1,1), (0,1)) "
"OP(3,4,20)",0,Solved,0.0000,0.1000,false,true,OP(3),0.1026,"(\infty, (4,2), (4,1)) ((8,2), (9,2), (5,1), (6,1)) ((1,2), (6,2), (10,1), (1,1), (0,2), (2,2), (8,1), (3,1), (11,2), (5,2), (12,1), (2,1), (3,2), (12,2), (7,1), (0,1), (10,2), (7,2), (9,1), (11,1)) "
"OP(19,8)",0,Solved,0.0000,0.0900,false,true,OP(3),0.0937,"(\infty, (0,1), (12,2), (6,2), (1,1), (2,1), (8,2), (4,2), (3,1), (9,1), (5,2), (7,2), (4,1), (12,1), (10,2), (0,2), (5,1), (7,1), (9,2)) ((11,2), (3,2), (6,1), (10,1), (1,2), (2,2), (8,1), (11,1)) "
"OP(3,5,19)",0,Solved,0.0001,0.1200,false,true,OP(3),0.1158,"(\infty, (8,1), (8,2), (5,2), (7,2), (10,1), (6,2), (10,2), (6,1), (1,1), (0,2), (12,2), (5,1), (12,1), (4,2), (11,2), (3,1), (2,1), (3,2)) ((7,1), (4,1), (0,1), (2,2), (9,1)) ((11,1), (1,2), (9,2)) "
