OP_Name,Instance,Status,ColorTime,LabellingTime,UsingMIP,UsingPolyColors,Notes,TotalTime,Solution
OP(15),0,Solved,0.0001,0.0200,false,true,OP(3),0.4858,"(\infty, (3,1), (1,2), (4,2), (5,1), (1,1), (5,2), (3,2), (2,1), (4,1), (0,2), (6,2), (6,1), (0,1), (2,2)) "
"OP(3,12)",0,Solved,0.0001,0.0100,false,true,OP(3),0.0472,"(\infty, (0,2), (1,1)) ((2,2), (3,2), (2,1), (4,1), (4,2), (6,2), (3,1), (0,1), (5,2), (1,2), (6,1), (5,1)) "
"OP(11,4)",0,Solved,0.0001,0.0200,false,true,OP(3),0.0217,"(\infty, (1,1), (1,2), (6,2), (4,1), (3,1), (4,2), (0,2), (2,1), (6,1), (5,2)) ((3,2), (2,2), (5,1), (0,1)) "
"OP(5,10)",0,Solved,0.0000,0.0100,false,true,"OP(5,6)",0.0153,"(\infty, (3,1), (6,1), (5,1), (1,2)) ((4,2), (5,2), (4,1), (2,1), (2,2), (0,2), (3,2), (1,1), (6,2), (0,1)) "
"OP(9,6)",0,Solved,0.0001,0.0100,false,true,"OP(5,6)",0.0182,"(\infty, (1,1), (5,1), (6,1), (4,2), (2,2), (0,1), (2,1), (1,2)) ((4,1), (5,2), (6,2), (3,2), (3,1), (0,2)) "
"OP(3,3,9)",0,Solved,0.0001,0.0200,false,true,OP(3),0.0248,"(\infty, (3,2), (5,1)) ((2,1), (2,2), (1,2)) ((4,2), (0,2), (5,2), (4,1), (6,2), (3,1), (6,1), (1,1), (0,1)) "
"OP(7,8)",0,Solved,0.0000,0.0100,false,true,OP(3),0.0143,"(\infty, (4,1), (6,2), (3,2), (2,1), (1,1), (5,2)) ((2,2), (4,2), (5,1), (0,1), (0,2), (1,2), (3,1), (6,1)) "
"OP(3,4,8)",0,Solved,0.0001,0.0100,false,true,OP(3),0.0166,"(\infty, (5,2), (2,1)) ((3,2), (2,2), (0,1), (3,1)) ((6,2), (1,2), (4,1), (5,1), (4,2), (0,2), (6,1), (1,1)) "
"OP(3,5,7)",0,Solved,0.0001,0.0300,false,true,OP(3),0.0261,"(\infty, (4,1), (5,2), (6,2), (1,2), (6,1), (4,2)) ((1,1), (2,1), (5,1), (2,2), (3,1)) ((0,1), (0,2), (3,2)) "
"OP(7,4,4)",0,Solved,0.0000,0.0200,false,true,OP(3),0.0203,"(\infty, (1,1), (3,2), (5,2), (0,1), (3,1), (4,2)) ((2,2), (6,2), (6,1), (5,1)) ((0,2), (1,2), (2,1), (4,1)) "
"OP(3,6,6)",0,Solved,0.0001,0.0300,false,true,OP(3),0.0311,"(\infty, (2,2), (2,1)) ((4,1), (0,1), (4,2), (5,2), (3,2), (6,2)) ((0,2), (1,1), (3,1), (1,2), (5,1), (6,1)) "
"OP(5,6,4)",0,Solved,0.0001,0.0100,false,true,"OP(5,6)",0.0145,"(\infty, (1,1), (5,1), (0,1), (5,2)) ((6,1), (3,2), (2,2), (0,2), (4,1), (6,2)) ((1,2), (4,2), (3,1), (2,1)) "
"OP(3,3,3,6)",0,Solved,0.0000,0.0300,false,true,OP(3),0.0370,"(\infty, (1,2), (0,1)) ((1,1), (6,1), (4,2)) ((5,1), (2,1), (2,2)) ((3,1), (4,1), (3,2), (6,2), (0,2), (5,2)) "
"OP(5,5,5)",0,Solved,0.0000,0.0100,false,true,"OP(5,5,5)",0.0226,"(\infty, (5,1), (3,2), (1,2), (4,2)) ((2,2), (1,1), (0,1), (0,2), (3,1)) ((6,2), (5,2), (2,1), (6,1), (4,1)) "
"OP(3,4,3,5)",0,Solved,0.0001,0.0300,false,true,OP(3),0.0347,"(\infty, (4,2), (2,1)) ((5,2), (6,2), (1,2), (5,1)) ((6,1), (0,2), (3,2)) ((0,1), (1,1), (3,1), (2,2), (4,1)) "
"OP(3,4,4,4)",0,Solved,0.0000,0.0100,false,true,OP(3),0.0122,"(\infty, (0,2), (2,1)) ((3,2), (2,2), (3,1), (0,1)) ((6,2), (4,2), (4,1), (5,1)) ((5,2), (1,2), (6,1), (1,1)) "
"OP(3,3,3,3,3)",0,Solved,0.0000,0.0100,false,true,"OP(3,3,3,3,3)",0.0132,"(\infty, (5,2), (5,1)) ((2,1), (6,1), (0,1)) ((1,1), (0,2), (3,2)) ((4,1), (1,2), (2,2)) ((3,1), (4,2), (6,2)) "
