OP_Name,Instance,Status,ColorTime,LabellingTime,UsingMIP,UsingPolyColors,Notes,TotalTime,Solution
OP(35),0,Solved,0.0022,0.4600,false,true,OP(3),0.7043,"(\infty, (1,1), (6,2), (5,2), (9,1), (12,1), (2,2), (14,2), (2,1), (14,1), (1,2), (12,2), (6,1), (13,1), (11,2), (8,2), (11,1), (0,1), (0,2), (10,2), (8,1), (10,1), (13,2), (4,2), (3,1), (16,1), (7,2), (9,2), (15,1), (7,1), (16,2), (3,2), (4,1), (5,1), (15,2)) "
"OP(3,32)",0,Solved,0.0000,0.5900,false,true,OP(3),0.5994,"(\infty, (5,2), (1,1)) ((11,2), (14,2), (5,1), (11,1), (1,2), (6,2), (3,1), (12,1), (7,2), (9,2), (4,1), (9,1), (0,2), (10,2), (16,1), (0,1), (2,2), (13,2), (14,1), (7,1), (8,2), (4,2), (8,1), (6,1), (3,2), (12,2), (2,1), (15,1), (15,2), (16,2), (10,1), (13,1)) "
"OP(31,4)",0,Solved,0.0000,0.2000,false,true,OP(3),0.2066,"(\infty, (14,1), (15,2), (8,2), (5,1), (16,1), (10,2), (14,2), (8,1), (7,1), (0,2), (12,2), (15,1), (1,1), (16,2), (1,2), (2,1), (0,1), (4,2), (13,2), (6,1), (11,1), (2,2), (3,2), (3,1), (10,1), (6,2), (9,2), (4,1), (12,1), (7,2)) ((11,2), (5,2), (13,1), (9,1)) "
"OP(5,30)",0,Solved,0.0000,0.6700,false,true,"OP(5,6)",0.6720,"(\infty, (7,1), (4,1), (5,1), (5,2)) ((9,2), (13,2), (14,1), (16,1), (11,2), (3,2), (9,1), (13,1), (2,2), (1,2), (0,1), (11,1), (16,2), (14,2), (10,1), (15,1), (6,2), (0,2), (3,1), (12,1), (8,2), (15,2), (8,1), (1,1), (10,2), (7,2), (12,2), (2,1), (4,2), (6,1)) "
"OP(29,6)",0,Solved,0.0000,0.0700,false,true,"OP(5,6)",0.0745,"(\infty, (11,1), (1,1), (7,1), (5,2), (15,2), (8,1), (0,1), (12,2), (8,2), (6,1), (4,1), (10,2), (2,2), (2,1), (5,1), (4,2), (1,2), (14,1), (9,1), (3,2), (9,2), (16,1), (3,1), (16,2), (0,2), (12,1), (13,1), (14,2)) ((10,1), (13,2), (11,2), (6,2), (15,1), (7,2)) "
"OP(3,3,29)",0,Solved,0.0001,1.9300,false,true,OP(3),1.9371,"(\infty, (10,2), (1,1)) ((0,1), (13,2), (5,2)) ((4,2), (8,2), (14,2), (3,1), (1,2), (0,2), (10,1), (15,1), (6,2), (16,2), (6,1), (14,1), (9,2), (11,2), (11,1), (5,1), (7,2), (2,2), (13,1), (12,1), (15,2), (12,2), (8,1), (4,1), (3,2), (2,1), (16,1), (9,1), (7,1)) "
"OP(7,28)",0,Solved,0.0000,0.2200,false,true,OP(3),0.2310,"(\infty, (15,1), (4,2), (15,2), (13,1), (7,1), (0,2)) ((3,2), (1,2), (11,1), (8,1), (6,2), (10,2), (9,1), (16,1), (11,2), (2,2), (14,1), (5,1), (5,2), (8,2), (12,1), (10,1), (14,2), (13,2), (2,1), (3,1), (12,2), (7,2), (4,1), (0,1), (16,2), (9,2), (1,1), (6,1)) "
"OP(3,4,28)",0,Solved,0.0001,0.2200,false,true,OP(3),0.2259,"(\infty, (0,2), (0,1)) ((1,2), (3,2), (5,1), (2,1)) ((2,2), (10,2), (9,1), (15,1), (4,2), (16,2), (7,1), (14,1), (5,2), (15,2), (1,1), (10,1), (6,2), (12,2), (8,1), (13,1), (7,2), (8,2), (6,1), (4,1), (9,2), (13,2), (3,1), (16,1), (11,2), (14,2), (11,1), (12,1)) "
"OP(27,8)",0,Solved,0.0000,0.3500,false,true,OP(3),0.3489,"(\infty, (0,1), (14,2), (10,2), (1,1), (9,1), (0,2), (15,2), (8,1), (5,1), (11,2), (6,2), (11,1), (15,1), (13,2), (7,2), (7,1), (12,1), (16,2), (9,2), (6,1), (13,1), (1,2), (2,2), (3,1), (2,1), (4,2)) ((8,2), (5,2), (4,1), (10,1), (3,2), (12,2), (16,1), (14,1)) "
"OP(3,5,27)",0,Solved,0.0000,3.6200,false,true,OP(3),3.6156,"(\infty, (1,1), (4,2), (0,2), (3,2), (15,1), (2,2), (11,2), (5,1), (4,1), (13,2), (7,2), (14,1), (2,1), (9,2), (16,2), (3,1), (7,1), (15,2), (10,2), (16,1), (10,1), (5,2), (6,2), (8,1), (0,1), (1,2)) ((6,1), (13,1), (11,1), (8,2), (9,1)) ((12,1), (12,2), (14,2)) "
"OP(27,4,4)",0,Solved,0.0000,0.5300,false,true,OP(3),0.5344,"(\infty, (12,1), (14,2), (8,2), (4,1), (14,1), (5,2), (7,2), (10,1), (9,1), (10,2), (3,2), (3,1), (8,1), (2,2), (1,2), (13,1), (11,1), (6,2), (15,2), (6,1), (0,1), (16,2), (4,2), (1,1), (5,1), (11,2)) ((12,2), (9,2), (2,1), (16,1)) ((0,2), (13,2), (15,1), (7,1)) "
"OP(9,26)",0,Solved,0.0000,0.1500,false,true,"OP(5,6)",0.1575,"(\infty, (0,1), (15,1), (6,1), (0,2), (1,2), (2,1), (16,1), (2,2)) ((9,2), (4,2), (11,1), (1,1), (3,2), (5,2), (10,1), (9,1), (6,2), (16,2), (12,1), (7,1), (7,2), (15,2), (14,1), (3,1), (10,2), (13,2), (8,1), (4,1), (12,2), (8,2), (14,2), (5,1), (11,2), (13,1)) "
"OP(3,6,26)",0,Solved,0.0000,0.1500,false,true,OP(3),0.1529,"(\infty, (10,2), (2,1)) ((3,1), (1,1), (13,2), (15,2), (4,2), (14,2)) ((1,2), (9,2), (5,1), (16,1), (2,2), (16,2), (6,1), (15,1), (0,2), (12,2), (7,1), (14,1), (3,2), (7,2), (8,1), (13,1), (5,2), (6,2), (9,1), (12,1), (8,2), (10,1), (11,1), (11,2), (4,1), (0,1)) "
"OP(5,26,4)",0,Solved,0.0000,0.8300,false,true,"OP(5,6)",0.8358,"(\infty, (4,1), (10,1), (3,1), (2,2)) ((1,2), (4,2), (15,1), (12,1), (14,2), (6,2), (14,1), (2,1), (5,2), (11,2), (6,1), (5,1), (15,2), (13,2), (9,1), (7,1), (3,2), (16,2), (8,1), (16,1), (0,2), (10,2), (9,2), (11,1), (8,2), (1,1)) ((7,2), (12,2), (0,1), (13,1)) "
"OP(3,3,3,26)",0,Solved,0.0000,0.7000,false,true,OP(3),0.6992,"(\infty, (11,2), (9,1)) ((11,1), (4,1), (16,2)) ((6,1), (3,1), (10,2)) ((1,2), (7,2), (10,1), (12,1), (4,2), (9,2), (8,1), (16,1), (5,2), (8,2), (5,1), (0,1), (15,2), (6,2), (15,1), (2,1), (13,2), (0,2), (7,1), (1,1), (14,2), (14,1), (13,1), (12,2), (2,2), (3,2)) "
"OP(25,10)",0,Solved,0.0000,2.2200,false,true,"OP(5,6)",2.2171,"(\infty, (12,1), (0,1), (1,1), (7,2), (12,2), (15,1), (9,1), (16,2), (10,2), (8,1), (4,1), (3,2), (13,2), (10,1), (2,1), (6,2), (8,2), (16,1), (6,1), (2,2), (15,2), (5,1), (7,1), (5,2)) ((14,2), (11,2), (11,1), (14,1), (9,2), (0,2), (1,2), (13,1), (4,2), (3,1)) "
"OP(3,7,25)",0,Solved,0.0000,0.4200,false,true,OP(3),0.4279,"(\infty, (16,1), (3,2), (2,2), (8,2), (2,1), (10,2)) ((10,1), (11,2), (6,2)) ((0,2), (7,2), (7,1), (6,1), (13,2), (4,2), (9,1), (13,1), (5,2), (9,2), (4,1), (15,1), (1,2), (15,2), (5,1), (0,1), (16,2), (14,2), (12,1), (14,1), (12,2), (1,1), (8,1), (11,1), (3,1)) "
"OP(25,6,4)",0,Solved,0.0000,0.6300,false,true,"OP(5,6)",0.6288,"(\infty, (7,1), (13,1), (15,1), (0,2), (4,2), (1,1), (14,1), (15,2), (8,2), (8,1), (0,1), (11,2), (2,2), (3,1), (4,1), (10,2), (9,2), (11,1), (6,1), (14,2), (12,2), (5,1), (12,1), (16,2)) ((9,1), (1,2), (6,2), (3,2), (10,1), (5,2)) ((7,2), (13,2), (16,1), (2,1)) "
"OP(25,5,5)",0,Solved,0.0000,5.1100,false,true,"OP(5,5,5)",5.1129,"(\infty, (1,1), (16,2), (13,2), (11,2), (1,2), (7,1), (12,1), (15,2), (3,2), (3,1), (9,1), (14,2), (5,2), (6,1), (13,1), (9,2), (10,2), (15,1), (16,1), (0,2), (4,2), (14,1), (5,1), (7,2)) ((6,2), (0,1), (4,1), (12,2), (2,1)) ((8,2), (2,2), (10,1), (8,1), (11,1)) "
"OP(3,4,3,25)",0,Solved,0.0000,1.0000,false,true,OP(3),0.9994,"(\infty, (0,2), (12,1)) ((11,2), (13,2), (3,2), (5,1)) ((8,1), (12,2), (7,2)) ((6,2), (14,2), (0,1), (10,1), (10,2), (9,2), (6,1), (7,1), (1,2), (4,2), (9,1), (3,1), (16,2), (5,2), (4,1), (13,1), (15,2), (2,2), (11,1), (15,1), (8,2), (1,1), (16,1), (2,1), (14,1)) "
"OP(11,24)",0,Solved,0.0000,0.3100,false,true,OP(3),0.3070,"(\infty, (7,1), (13,2), (12,2), (3,1), (12,1), (0,2), (5,2), (5,1), (4,1), (16,2)) ((10,2), (8,2), (9,1), (13,1), (6,2), (9,2), (15,1), (1,1), (3,2), (11,2), (10,1), (0,1), (14,2), (4,2), (6,1), (11,1), (7,2), (1,2), (14,1), (16,1), (2,2), (15,2), (8,1), (2,1)) "
