OP_Name,Instance,Status,ColorTime,LabellingTime,UsingMIP,UsingPolyColors,Notes,TotalTime,Solution
"OP(37,3,3)",0,Solved,"4,8318","1,1350",false,false,,"6,5399","(\infty, (19,1), (4,2), (15,1), (18,2), (17,1), (14,1), (18,1), (8,2), (10,1), (4,1), (3,2), (16,2), (13,2), (9,2), (7,2), (16,1), (3,1), (13,1), (12,1), (14,2), (0,2), (20,2), (2,1), (6,2), (11,2), (5,2), (11,1), (9,1), (17,2), (0,1), (5,1), (19,2), (6,1), (20,1), (8,1), (15,2)) ((2,2), (12,2), (7,1)) ((10,2), (1,2), (1,1)) "
"OP(36,4,3)",0,Solved,"0,5369","0,9450",false,false,,"1,5272","(\infty, (3,1), (19,1), (6,1), (2,2), (1,1), (11,1), (8,1), (6,2), (17,1), (16,1), (13,2), (0,2), (16,2), (20,2), (14,2), (9,1), (7,1), (19,2), (15,1), (10,2), (12,2), (9,2), (2,1), (4,2), (15,2), (8,2), (14,1), (18,1), (3,2), (10,1), (4,1), (7,2), (20,1), (13,1), (1,2)) ((18,2), (17,2), (5,2), (5,1)) ((11,2), (12,1), (0,1)) "
"OP(35,5,3)",0,Solved,"0,5369","0,4370",false,false,,"0,9943","(\infty, (0,1), (5,1), (7,1), (9,2), (3,1), (2,1), (10,1), (1,2), (8,1), (14,1), (11,2), (12,2), (4,2), (18,2), (13,2), (13,1), (9,1), (7,2), (20,1), (10,2), (16,2), (5,2), (1,1), (8,2), (17,2), (20,2), (19,1), (12,1), (15,2), (6,1), (17,1), (6,2), (11,1), (3,2)) ((16,1), (0,2), (2,2), (19,2), (4,1)) ((14,2), (18,1), (15,1)) "
"OP(35,4,4)",0,Solved,"0,5369","0,4350",false,false,,"0,9859","(\infty, (11,1), (16,1), (7,1), (5,2), (8,1), (12,1), (10,1), (17,2), (5,1), (15,1), (3,2), (18,2), (4,2), (20,2), (7,2), (14,1), (13,1), (8,2), (19,1), (6,2), (16,2), (15,2), (9,1), (12,2), (9,2), (11,2), (6,1), (20,1), (0,2), (17,1), (4,1), (19,2), (2,1), (13,2)) ((1,1), (14,2), (10,2), (1,2)) ((3,1), (2,2), (0,1), (18,1)) "
"OP(34,6,3)",0,Solved,"0,5369","0,0410",false,false,,"0,6206","(\infty, (16,1), (4,2), (15,1), (12,2), (12,1), (10,2), (4,1), (1,1), (2,1), (0,1), (5,2), (15,2), (11,2), (18,2), (2,2), (20,1), (13,1), (9,2), (14,1), (13,2), (7,2), (6,2), (5,1), (17,2), (8,2), (0,2), (19,1), (9,1), (3,2), (10,1), (18,1), (1,2), (20,2)) ((11,1), (17,1), (8,1), (16,2), (19,2), (6,1)) ((14,2), (7,1), (3,1)) "
"OP(34,5,4)",0,Solved,"0,5369","0,2760",false,false,,"0,8420","(\infty, (14,1), (2,2), (0,1), (15,2), (2,1), (3,2), (3,1), (18,1), (16,1), (13,1), (4,2), (18,2), (5,2), (6,2), (8,2), (19,1), (15,1), (11,2), (7,1), (12,2), (16,2), (13,2), (6,1), (9,2), (0,2), (10,2), (20,1), (11,1), (17,2), (9,1), (8,1), (7,2), (1,2)) ((5,1), (10,1), (17,1), (14,2), (19,2)) ((1,1), (20,2), (4,1), (12,1)) "
"OP(34,3,3,3)",0,Solved,"0,5369","0,1620",false,false,,"0,7279","(\infty, (13,1), (19,2), (15,1), (3,2), (2,1), (0,2), (14,1), (7,1), (12,1), (18,1), (5,2), (18,2), (13,2), (4,2), (10,2), (20,1), (11,1), (7,2), (4,1), (6,2), (20,2), (17,2), (5,1), (2,2), (12,2), (16,2), (16,1), (8,1), (1,2), (6,1), (10,1), (15,2), (14,2)) ((0,1), (3,1), (1,1)) ((9,2), (11,2), (17,1)) ((8,2), (9,1), (19,1)) "
"OP(33,7,3)",0,Solved,"0,5369","0,0530",false,false,,"0,6042","(\infty, (2,1), (3,2), (11,1), (5,2), (17,1), (4,2), (6,1), (5,1), (8,1), (10,1), (6,2), (17,2), (8,2), (14,2), (12,2), (15,1), (20,1), (1,2), (12,1), (19,2), (16,2), (20,2), (16,1), (11,2), (18,2), (2,2), (18,1), (14,1), (13,2), (7,1), (0,1), (0,2)) ((13,1), (3,1), (9,1), (1,1), (15,2), (7,2), (4,1)) ((10,2), (9,2), (19,1)) "
"OP(33,6,4)",0,Solved,"0,5369","0,5110",false,false,,"1,0573","(\infty, (3,1), (1,2), (4,1), (4,2), (5,1), (9,2), (13,1), (9,1), (7,1), (10,1), (18,2), (13,2), (14,2), (16,2), (20,2), (11,1), (20,1), (2,2), (0,1), (6,2), (17,2), (5,2), (15,1), (8,2), (11,2), (19,2), (12,1), (18,1), (12,2), (17,1), (6,1), (7,2)) ((16,1), (8,1), (1,1), (2,1), (15,2), (0,2)) ((14,1), (3,2), (10,2), (19,1)) "
"OP(33,5,5)",0,Solved,"0,5369","0,5830",false,false,,"1,1347","(\infty, (10,1), (12,2), (5,1), (11,2), (13,1), (7,1), (12,1), (6,2), (16,1), (2,1), (18,2), (0,2), (20,2), (1,2), (14,2), (0,1), (9,1), (11,1), (15,1), (16,2), (2,2), (19,2), (20,1), (17,2), (8,2), (3,2), (3,1), (4,1), (13,2), (8,1), (18,1), (7,2)) ((19,1), (1,1), (14,1), (5,2), (15,2)) ((9,2), (17,1), (4,2), (10,2), (6,1)) "
