OP_Name;Instance;Status;LabellingTime;Notes;TotalTime;Solution
OP(41,5,3);0;Solved;0,2000;CriticalPath [3, 4, 5, 6];1,5611;(\infty, (19,1), (5,2), (21,1), (0,1), (12,1), (12,2), (0,2), (10,1), (16,2), (11,1), (17,1), (9,1), (13,2), (8,2), (6,2), (10,2), (1,2), (4,2), (7,1), (20,1), (16,1), (23,1), (18,1), (8,1), (3,2), (2,2), (3,1), (21,2), (5,1), (20,2), (14,2), (7,2), (22,1), (13,1), (15,2), (14,1), (15,1), (18,2), (1,1), (23,2)) ((2,1), (22,2), (11,2), (19,2), (9,2)) ((17,2), (4,1), (6,1))
OP(39,7,3);0;Solved;0,7160;CriticalPath [10, 11, 12, 13];1,8386;(\infty, (5,1), (22,2), (4,1), (19,2), (10,1), (6,2), (2,2), (1,1), (17,2), (11,1), (0,1), (12,1), (12,2), (0,2), (7,2), (20,2), (14,2), (4,2), (15,1), (18,1), (20,1), (16,1), (23,1), (8,1), (15,2), (23,2), (2,1), (13,2), (9,1), (11,2), (8,2), (9,2), (14,1), (19,1), (3,2), (17,1), (7,1), (21,2)) ((3,1), (21,1), (22,1), (6,1), (5,2), (10,2), (1,2)) ((18,2), (16,2), (13,1))
OP(37,9,3);0;Solved;0,6510;CriticalPath [10, 11, 12, 13];1,7933;(\infty, (15,1), (4,2), (19,1), (6,2), (1,1), (11,2), (10,2), (17,1), (13,2), (6,1), (0,1), (12,1), (12,2), (0,2), (17,2), (21,2), (5,2), (16,2), (21,1), (14,1), (10,1), (7,1), (5,1), (4,1), (8,2), (14,2), (20,1), (2,2), (23,1), (1,2), (22,2), (7,2), (9,1), (18,1), (9,2), (23,2)) ((2,1), (3,2), (13,1), (3,1), (8,1), (16,1), (15,2), (20,2), (18,2)) ((19,2), (11,1), (22,1))
OP(37,7,5);0;Solved;0,1410;CriticalPath [10, 11, 12, 13];1,2931;(\infty, (2,1), (3,2), (1,1), (6,2), (3,1), (1,2), (18,2), (4,1), (15,2), (5,1), (0,1), (12,1), (12,2), (0,2), (11,2), (14,2), (19,2), (9,2), (18,1), (7,1), (6,1), (10,1), (16,1), (19,1), (13,2), (17,2), (20,1), (2,2), (17,1), (21,2), (23,2), (22,2), (9,1), (11,1), (10,2), (16,2)) ((15,1), (8,2), (13,1), (21,1), (14,1), (23,1), (7,2)) ((5,2), (20,2), (4,2), (8,1), (22,1))
OP(37,5,4,3);0;Solved;0,1960;CriticalPath [10, 11, 12, 13];1,3348;(\infty, (17,1), (4,2), (21,1), (1,2), (23,1), (2,2), (11,2), (16,1), (6,2), (10,1), (0,1), (12,1), (12,2), (0,2), (16,2), (20,2), (17,2), (10,2), (18,1), (22,1), (13,1), (5,1), (7,1), (4,1), (22,2), (8,2), (11,1), (21,2), (8,1), (23,2), (18,2), (5,2), (20,1), (19,1), (3,2), (9,2)) ((2,1), (19,2), (14,1), (3,1), (9,1)) ((15,1), (14,2), (15,2), (13,2)) ((7,2), (6,1), (1,1))
OP(35,11,3);0;Solved;0,0600;CriticalPath [10, 11, 12, 13];1,1997;(\infty, (4,1), (21,2), (5,1), (11,2), (22,1), (18,2), (8,2), (17,1), (3,2), (13,1), (0,1), (12,1), (12,2), (0,2), (6,2), (15,2), (7,2), (5,2), (1,1), (7,1), (10,1), (19,1), (9,1), (2,1), (23,2), (2,2), (23,1), (1,2), (20,1), (19,2), (20,2), (13,2), (18,1), (16,2)) ((10,2), (16,1), (21,1), (4,2), (3,1), (11,1), (15,1), (14,1), (22,2), (9,2), (14,2)) ((17,2), (6,1), (8,1))
OP(35,9,5);0;Solved;0,1260;CriticalPath [10, 11, 12, 13];1,3278;(\infty, (22,1), (13,2), (7,1), (23,2), (3,1), (4,2), (11,2), (17,1), (3,2), (14,1), (0,1), (12,1), (12,2), (0,2), (22,2), (7,2), (8,2), (21,2), (4,1), (8,1), (15,1), (13,1), (5,1), (2,1), (10,2), (5,2), (1,1), (6,2), (19,1), (14,2), (17,2), (1,2), (23,1), (2,2)) ((20,2), (6,1), (11,1), (18,2), (21,1), (20,1), (9,1), (18,1), (16,2)) ((15,2), (9,2), (19,2), (10,1), (16,1))
OP(35,7,4,3);0;Solved;0,7210;CriticalPath [10, 11, 12, 13];1,9380;(\infty, (9,1), (5,2), (21,1), (16,2), (11,1), (18,1), (8,1), (13,1), (22,2), (15,1), (0,1), (12,1), (12,2), (0,2), (6,2), (10,2), (18,2), (1,2), (14,1), (3,1), (2,2), (22,1), (23,1), (7,1), (17,2), (20,2), (17,1), (9,2), (20,1), (11,2), (13,2), (3,2), (6,1), (7,2)) ((21,2), (4,1), (2,1), (8,2), (10,1), (16,1), (19,1)) ((14,2), (15,2), (4,2), (23,2)) ((19,2), (5,1), (1,1))
OP(35,6,5,3);0;Solved;0,7360;CriticalPath [3, 4, 5, 6];1,8823;(\infty, (15,1), (6,2), (19,1), (0,1), (12,1), (12,2), (0,2), (1,1), (2,2), (6,1), (10,1), (9,1), (14,2), (16,2), (15,2), (11,2), (22,2), (4,2), (20,1), (17,1), (7,1), (14,1), (8,1), (16,1), (13,2), (23,2), (5,1), (19,2), (2,1), (9,2), (18,2), (21,2), (18,1), (7,2)) ((20,2), (11,1), (22,1), (8,2), (13,1), (4,1)) ((3,1), (5,2), (10,2), (17,2), (1,2)) ((3,2), (21,1), (23,1))
OP(35,5,3,3,3);0;Solved;0,8060;CriticalPath [10, 11, 12, 13];1,8995;(\infty, (14,1), (19,2), (9,1), (4,2), (10,1), (9,2), (2,2), (18,1), (22,2), (7,1), (0,1), (12,1), (12,2), (0,2), (8,2), (10,2), (7,2), (6,2), (13,1), (3,1), (22,1), (4,1), (20,1), (23,1), (5,2), (14,2), (11,1), (18,2), (5,1), (1,2), (11,2), (15,2), (6,1), (20,2)) ((23,2), (1,1), (21,1), (13,2), (2,1)) ((17,1), (8,1), (19,1)) ((3,2), (21,2), (16,2)) ((17,2), (15,1), (16,1))
