OP_Name;Instance;Status;LabellingTime;Notes;TotalTime;Solution
OP(25,11,5);0;Solved;0,3630;CriticalPath [8, 9, 10, 11];1,1659;(\infty, (12,1), (18,1), (5,2), (7,1), (19,2), (5,1), (13,2), (4,1), (0,1), (10,1), (10,2), (0,2), (9,2), (8,2), (17,1), (15,1), (6,1), (19,1), (12,2), (16,2), (14,1), (9,1), (15,2), (2,2)) ((16,1), (13,1), (18,2), (1,1), (2,1), (1,2), (7,2), (3,1), (11,1), (14,2), (17,2)) ((3,2), (8,1), (4,2), (6,2), (11,2))
OP(25,9,7);0;Solved;0,2620;CriticalPath [8, 9, 10, 11];1,1017;(\infty, (1,1), (12,1), (8,2), (13,1), (12,2), (6,1), (11,2), (8,1), (0,1), (10,1), (10,2), (0,2), (18,2), (7,2), (14,1), (15,1), (11,1), (9,1), (6,2), (13,2), (16,2), (7,1), (1,2), (9,2)) ((19,1), (4,1), (2,2), (18,1), (5,1), (17,2), (3,2), (2,1), (16,1)) ((15,2), (19,2), (4,2), (17,1), (5,2), (3,1), (14,2))
OP(25,9,4,3);0;Solved;0,1190;CriticalPath [8, 9, 10, 11];1,0311;(\infty, (17,1), (19,1), (7,2), (9,1), (4,2), (11,1), (2,2), (6,1), (0,1), (10,1), (10,2), (0,2), (13,2), (17,2), (5,1), (16,1), (4,1), (7,1), (11,2), (8,2), (3,2), (2,1), (1,2), (9,2)) ((15,1), (14,1), (19,2), (13,1), (18,1), (5,2), (14,2), (12,1), (8,1)) ((18,2), (16,2), (15,2), (1,1)) ((6,2), (3,1), (12,2))
OP(25,8,5,3);0;Solved;0,4470;CriticalPath [8, 9, 10, 11];1,3000;(\infty, (5,1), (8,1), (1,2), (19,1), (2,2), (1,1), (5,2), (16,1), (0,1), (10,1), (10,2), (0,2), (7,2), (3,2), (18,1), (9,1), (2,1), (7,1), (4,2), (19,2), (13,2), (17,1), (16,2), (15,2)) ((6,1), (12,1), (18,2), (11,1), (3,1), (14,2), (12,2), (4,1)) ((15,1), (9,2), (17,2), (6,2), (14,1)) ((8,2), (13,1), (11,2))
OP(25,7,6,3);0;Solved;0,0850;CriticalPath [8, 9, 10, 11];0,9144;(\infty, (3,1), (17,1), (8,2), (12,1), (19,2), (2,1), (11,2), (7,1), (0,1), (10,1), (10,2), (0,2), (16,2), (17,2), (11,1), (8,1), (6,1), (5,1), (18,2), (13,2), (4,2), (16,1), (15,2), (9,2)) ((19,1), (15,1), (7,2), (13,1), (4,1), (6,2), (14,2)) ((9,1), (1,1), (2,2), (5,2), (12,2), (14,1)) ((3,2), (18,1), (1,2))
OP(25,7,5,4);0;Solved;0,1110;CriticalPath [8, 9, 10, 11];0,8895;(\infty, (3,1), (17,1), (2,2), (4,1), (8,2), (5,1), (19,2), (7,1), (0,1), (10,1), (10,2), (0,2), (9,2), (14,2), (6,1), (8,1), (9,1), (14,1), (5,2), (7,2), (11,1), (19,1), (1,2), (15,2)) ((12,1), (16,1), (3,2), (2,1), (13,1), (6,2), (18,2)) ((1,1), (18,1), (17,2), (13,2), (16,2)) ((15,1), (4,2), (11,2), (12,2))
OP(25,7,3,3,3);0;Solved;1,2470;CriticalPath [8, 9, 10, 11];2,0727;(\infty, (18,1), (12,1), (5,2), (1,1), (3,2), (7,1), (12,2), (5,1), (0,1), (10,1), (10,2), (0,2), (17,2), (16,2), (15,1), (8,1), (19,1), (11,1), (19,2), (7,2), (13,1), (9,1), (18,2), (14,2)) ((3,1), (2,1), (13,2), (14,1), (17,1), (15,2), (6,2)) ((4,1), (6,1), (1,2)) ((2,2), (8,2), (16,1)) ((4,2), (9,2), (11,2))
OP(25,5,4,4,3);0;Solved;0,3250;CriticalPath [8, 9, 10, 11];1,1235;(\infty, (5,1), (11,1), (4,2), (12,1), (17,2), (6,1), (5,2), (2,1), (0,1), (10,1), (10,2), (0,2), (18,2), (3,2), (9,1), (16,1), (17,1), (14,1), (12,2), (13,2), (16,2), (19,1), (8,2), (1,2)) ((8,1), (4,1), (19,2), (15,1), (3,1)) ((6,2), (14,2), (7,1), (18,1)) ((2,2), (11,2), (7,2), (1,1)) ((9,2), (13,1), (15,2))
OP(24,9,5,3);0;Solved;0,3150;CriticalPath [8, 9, 10, 11];1,2025;(\infty, (12,1), (17,1), (8,2), (15,1), (2,2), (8,1), (5,2), (19,1), (0,1), (10,1), (10,2), (0,2), (14,2), (9,2), (7,1), (16,1), (9,1), (13,1), (16,2), (7,2), (6,1), (14,1), (6,2)) ((1,2), (2,1), (4,1), (13,2), (5,1), (11,1), (15,2), (18,2), (3,1)) ((1,1), (17,2), (19,2), (3,2), (18,1)) ((4,2), (11,2), (12,2))
OP(23,15,3);0;Solved;0,1390;CriticalPath [8, 9, 10, 11];0,9309;(\infty, (8,1), (16,1), (12,2), (15,1), (4,2), (12,1), (17,2), (3,1), (0,1), (10,1), (10,2), (0,2), (3,2), (9,2), (5,1), (1,1), (2,1), (4,1), (5,2), (14,2), (18,2), (16,2)) ((8,2), (17,1), (11,1), (6,1), (13,2), (14,1), (7,1), (15,2), (7,2), (9,1), (18,1), (11,2), (6,2), (19,2), (13,1)) ((1,2), (19,1), (2,2))
OP(23,13,5);0;Solved;0,0800;CriticalPath [8, 9, 10, 11];0,9413;(\infty, (3,1), (17,1), (9,2), (4,1), (18,2), (5,1), (13,2), (7,1), (0,1), (10,1), (10,2), (0,2), (16,2), (5,2), (6,1), (8,1), (9,1), (14,1), (11,2), (12,2), (15,2), (7,2)) ((6,2), (11,1), (19,1), (15,1), (4,2), (2,1), (13,1), (17,2), (2,2), (1,1), (18,1), (1,2), (19,2)) ((8,2), (12,1), (3,2), (16,1), (14,2))
OP(23,11,7);0;Solved;0,0410;CriticalPath [8, 9, 10, 11];0,8226;(\infty, (2,1), (4,1), (13,2), (14,1), (6,2), (15,1), (2,2), (1,1), (0,1), (10,1), (10,2), (0,2), (15,2), (17,2), (19,1), (13,1), (9,1), (6,1), (11,2), (12,2), (8,2), (14,2)) ((3,2), (17,1), (8,1), (16,1), (4,2), (11,1), (18,1), (1,2), (9,2), (12,1), (7,1)) ((16,2), (5,2), (18,2), (3,1), (7,2), (5,1), (19,2))
OP(23,11,4,3);0;Solved;0,2220;CriticalPath [8, 9, 10, 11];1,0138;(\infty, (2,1), (11,1), (3,2), (16,1), (4,2), (3,1), (12,2), (7,1), (0,1), (10,1), (10,2), (0,2), (16,2), (8,2), (9,1), (5,1), (6,1), (8,1), (14,2), (17,2), (15,2), (6,2)) ((7,2), (14,1), (17,1), (12,1), (9,2), (18,1), (4,1), (19,2), (5,2), (1,1), (13,1)) ((13,2), (18,2), (11,2), (15,1)) ((2,2), (19,1), (1,2))
OP(23,10,5,3);0;Solved;0,1000;CriticalPath [8, 9, 10, 11];0,9072;(\infty, (3,1), (4,1), (3,2), (1,1), (19,2), (2,1), (7,2), (6,1), (0,1), (10,1), (10,2), (0,2), (14,2), (18,2), (11,1), (7,1), (5,1), (14,1), (9,2), (12,2), (4,2), (17,2)) ((8,2), (15,1), (8,1), (16,1), (2,2), (13,1), (18,1), (6,2), (1,2), (17,1)) ((9,1), (5,2), (16,2), (15,2), (12,1)) ((11,2), (19,1), (13,2))
OP(23,9,6,3);0;Solved;0,0760;CriticalPath [8, 9, 10, 11];0,8683;(\infty, (3,1), (4,1), (11,2), (7,1), (19,2), (11,1), (14,2), (5,1), (0,1), (10,1), (10,2), (0,2), (13,2), (12,2), (16,1), (9,1), (1,1), (12,1), (7,2), (5,2), (6,1), (17,2)) ((18,2), (9,2), (15,1), (13,1), (6,2), (8,1), (2,1), (3,2), (15,2)) ((14,1), (17,1), (2,2), (8,2), (4,2), (18,1)) ((1,2), (19,1), (16,2))
OP(23,9,5,4);0;Solved;0,0490;CriticalPath [8, 9, 10, 11];0,8580;(\infty, (8,1), (15,1), (17,2), (4,1), (11,2), (6,1), (4,2), (12,1), (0,1), (10,1), (10,2), (0,2), (19,2), (8,2), (19,1), (13,1), (16,1), (17,1), (3,2), (1,2), (6,2), (12,2)) ((14,2), (11,1), (7,1), (9,1), (13,2), (5,1), (14,1), (15,2), (7,2)) ((3,1), (18,1), (9,2), (5,2), (2,2)) ((1,1), (16,2), (2,1), (18,2))
OP(23,9,3,3,3);0;Solved;0,1640;CriticalPath [8, 9, 10, 11];0,9881;(\infty, (19,1), (17,1), (5,2), (9,1), (16,2), (4,1), (15,2), (6,1), (0,1), (10,1), (10,2), (0,2), (9,2), (3,2), (5,1), (16,1), (15,1), (2,1), (1,2), (19,2), (2,2), (7,2)) ((11,2), (18,1), (13,1), (1,1), (18,2), (3,1), (7,1), (8,2), (4,2)) ((11,1), (14,1), (17,2)) ((13,2), (12,2), (8,1)) ((6,2), (12,1), (14,2))
OP(23,8,7,3);0;Solved;0,0610;CriticalPath [8, 9, 10, 11];0,8511;(\infty, (1,1), (8,1), (1,2), (19,1), (2,2), (16,1), (13,2), (6,1), (0,1), (10,1), (10,2), (0,2), (15,2), (7,2), (9,1), (12,1), (3,1), (11,1), (3,2), (17,2), (16,2), (19,2)) ((6,2), (18,1), (2,1), (17,1), (12,2), (13,1), (14,1), (8,2)) ((9,2), (5,1), (7,1), (18,2), (14,2), (5,2), (4,1)) ((4,2), (15,1), (11,2))
OP(23,7,6,5);0;Solved;0,0630;CriticalPath [8, 9, 10, 11];0,8630;(\infty, (15,1), (19,1), (1,2), (13,1), (6,2), (14,1), (19,2), (5,1), (0,1), (10,1), (10,2), (0,2), (8,2), (17,2), (1,1), (7,1), (9,1), (12,1), (9,2), (16,2), (13,2), (11,2)) ((2,2), (18,1), (11,1), (2,1), (3,2), (8,1), (16,1)) ((18,2), (14,2), (3,1), (4,1), (7,2), (12,2)) ((4,2), (17,1), (15,2), (6,1), (5,2))
OP(23,7,5,3,3);0;Solved;0,1760;CriticalPath [8, 9, 10, 11];0,9782;(\infty, (16,1), (8,1), (15,2), (17,1), (11,2), (5,1), (7,2), (3,1), (0,1), (10,1), (10,2), (0,2), (18,2), (12,2), (7,1), (13,1), (9,1), (18,1), (1,2), (17,2), (9,2), (14,2)) ((19,2), (4,1), (2,1), (1,1), (2,2), (11,1), (6,1)) ((5,2), (8,2), (12,1), (19,1), (16,2)) ((3,2), (4,2), (15,1)) ((6,2), (14,1), (13,2))
OP(23,7,4,4,3);0;Solved;0,1330;CriticalPath [8, 9, 10, 11];0,9217;(\infty, (15,1), (19,1), (14,2), (9,1), (15,2), (11,1), (18,2), (7,1), (0,1), (10,1), (10,2), (0,2), (9,2), (17,2), (16,1), (18,1), (3,1), (17,1), (5,2), (3,2), (6,2), (1,2)) ((19,2), (1,1), (12,1), (13,1), (7,2), (14,1), (2,1)) ((4,2), (11,2), (8,1), (5,1)) ((16,2), (12,2), (13,2), (4,1)) ((2,2), (6,1), (8,2))
OP(23,6,5,4,3);0;Solved;0,0700;CriticalPath [8, 9, 10, 11];0,8548;(\infty, (5,1), (2,1), (11,2), (6,1), (4,2), (8,1), (7,2), (13,1), (0,1), (10,1), (10,2), (0,2), (9,2), (6,2), (9,1), (11,1), (16,1), (17,1), (3,2), (18,2), (17,2), (13,2)) ((2,2), (1,1), (12,1), (18,1), (1,2), (14,1)) ((15,1), (19,2), (5,2), (3,1), (7,1)) ((15,2), (8,2), (16,2), (4,1)) ((12,2), (19,1), (14,2))
OP(23,5,5,5,3);0;Solved;1,2250;CriticalPath [8, 9, 10, 11];2,0315;(\infty, (5,1), (3,1), (2,2), (9,1), (3,2), (1,1), (7,2), (19,1), (0,1), (10,1), (10,2), (0,2), (15,2), (16,2), (18,1), (14,1), (6,1), (17,1), (13,2), (9,2), (4,1), (19,2)) ((12,2), (1,2), (12,1), (7,1), (4,2)) ((2,1), (15,1), (6,2), (8,2), (16,1)) ((8,1), (11,2), (5,2), (18,2), (11,1)) ((14,2), (13,1), (17,2))
OP(23,5,4,3,3,3);0;Solved;0,8230;CriticalPath [8, 9, 10, 11];1,6439;(\infty, (13,1), (18,1), (19,2), (1,1), (17,2), (4,1), (13,2), (9,1), (0,1), (10,1), (10,2), (0,2), (14,2), (18,2), (16,1), (14,1), (7,1), (8,1), (2,2), (11,2), (6,2), (9,2)) ((16,2), (11,1), (15,1), (3,1), (15,2)) ((2,1), (5,1), (8,2), (1,2)) ((12,1), (6,1), (3,2)) ((7,2), (5,2), (19,1)) ((4,2), (17,1), (12,2))
OP(22,11,5,3);0;Solved;0,3180;CriticalPath [8, 9, 10, 11];1,1134;(\infty, (11,1), (6,1), (8,2), (3,1), (2,2), (1,1), (5,2), (12,1), (0,1), (10,1), (10,2), (0,2), (17,2), (4,2), (15,1), (8,1), (2,1), (13,1), (9,2), (14,2), (15,2)) ((17,1), (3,2), (19,2), (7,1), (4,1), (11,2), (16,1), (14,1), (12,2), (1,2), (18,1)) ((9,1), (6,2), (18,2), (16,2), (5,1)) ((7,2), (19,1), (13,2))
OP(22,9,7,3);0;Solved;0,0580;CriticalPath [8, 9, 10, 11];0,8401;(\infty, (14,1), (3,1), (11,2), (17,1), (14,2), (7,1), (2,2), (16,1), (0,1), (10,1), (10,2), (0,2), (18,2), (5,2), (13,1), (12,1), (9,1), (1,1), (6,2), (17,2), (16,2)) ((18,1), (9,2), (11,1), (6,1), (8,1), (4,2), (5,1), (19,1), (1,2)) ((8,2), (15,1), (2,1), (3,2), (19,2), (13,2), (4,1)) ((12,2), (7,2), (15,2))
OP(22,7,5,4,3);0;Solved;0,0510;CriticalPath [8, 9, 10, 11];0,8435;(\infty, (6,1), (13,1), (11,2), (3,1), (2,2), (1,1), (18,2), (9,1), (0,1), (10,1), (10,2), (0,2), (7,2), (19,2), (7,1), (8,1), (5,1), (19,1), (3,2), (12,2), (16,2)) ((17,1), (4,2), (9,2), (14,1), (18,1), (1,2), (15,1)) ((4,1), (6,2), (5,2), (11,1), (16,1)) ((17,2), (14,2), (8,2), (12,1)) ((15,2), (2,1), (13,2))
OP(21,17,3);0;Solved;0,1010;CriticalPath [8, 9, 10, 11];0,8816;(\infty, (14,1), (9,1), (14,2), (12,1), (13,2), (2,1), (1,2), (8,1), (0,1), (10,1), (10,2), (0,2), (3,2), (7,2), (18,1), (15,1), (13,1), (6,1), (4,2), (2,2)) ((6,2), (3,1), (18,2), (1,1), (17,1), (11,1), (15,2), (7,1), (16,1), (12,2), (19,2), (5,1), (4,1), (16,2), (11,2), (5,2), (19,1)) ((9,2), (8,2), (17,2))
OP(21,15,5);0;Solved;0,1790;CriticalPath [8, 9, 10, 11];0,9604;(\infty, (19,1), (11,1), (5,2), (13,1), (12,2), (5,1), (9,2), (4,1), (0,1), (10,1), (10,2), (0,2), (14,2), (7,2), (14,1), (17,1), (8,1), (15,1), (6,2), (15,2)) ((18,1), (12,1), (8,2), (4,2), (6,1), (1,1), (3,2), (2,1), (3,1), (18,2), (17,2), (9,1), (7,1), (16,2), (1,2)) ((13,2), (16,1), (2,2), (19,2), (11,2))
OP(21,13,7);0;Solved;0,2100;CriticalPath [8, 9, 10, 11];0,9894;(\infty, (1,1), (2,1), (3,2), (4,1), (11,2), (5,1), (7,2), (3,1), (0,1), (10,1), (10,2), (0,2), (15,2), (17,2), (6,1), (8,1), (12,1), (17,1), (2,2), (13,2)) ((14,2), (11,1), (4,2), (16,1), (9,1), (18,1), (16,2), (7,1), (15,1), (12,2), (9,2), (13,1), (19,1)) ((19,2), (18,2), (6,2), (14,1), (8,2), (1,2), (5,2))
OP(21,13,4,3);0;Solved;0,0420;CriticalPath [8, 9, 10, 11];0,8658;(\infty, (9,1), (4,1), (8,2), (15,1), (4,2), (12,1), (6,2), (3,1), (0,1), (10,1), (10,2), (0,2), (18,2), (13,2), (14,1), (8,1), (6,1), (13,1), (11,2), (17,2)) ((2,2), (17,1), (3,2), (2,1), (1,1), (5,1), (1,2), (19,1), (11,1), (19,2), (7,2), (16,1), (7,1)) ((5,2), (14,2), (15,2), (18,1)) ((16,2), (9,2), (12,2))
OP(21,12,5,3);0;Solved;0,0900;CriticalPath [8, 9, 10, 11];0,8648;(\infty, (17,1), (14,1), (12,2), (4,1), (3,2), (1,1), (2,2), (5,1), (0,1), (10,1), (10,2), (0,2), (16,2), (1,2), (16,1), (8,1), (15,1), (13,1), (6,2), (9,2)) ((13,2), (19,1), (14,2), (3,1), (9,1), (18,1), (7,2), (11,1), (12,1), (19,2), (11,2), (7,1)) ((2,1), (5,2), (4,2), (18,2), (6,1)) ((15,2), (8,2), (17,2))
OP(21,11,9);0;Solved;0,1540;CriticalPath [8, 9, 10, 11];0,9319;(\infty, (9,1), (7,1), (4,2), (19,1), (5,2), (18,1), (6,2), (14,1), (0,1), (10,1), (10,2), (0,2), (7,2), (8,2), (15,1), (16,1), (13,1), (2,1), (1,2), (9,2)) ((4,1), (11,1), (12,2), (15,2), (6,1), (1,1), (3,2), (5,1), (17,1), (13,2), (19,2)) ((12,1), (8,1), (11,2), (2,2), (17,2), (3,1), (14,2), (18,2), (16,2))
OP(21,11,6,3);0;Solved;0,2860;CriticalPath [8, 9, 10, 11];1,0450;(\infty, (4,1), (6,1), (15,2), (8,1), (3,2), (18,1), (4,2), (11,1), (0,1), (10,1), (10,2), (0,2), (3,1), (2,2), (1,1), (9,1), (13,1), (19,1), (7,2), (16,2)) ((13,2), (15,1), (18,2), (1,2), (5,1), (12,1), (6,2), (2,1), (7,1), (9,2), (14,2)) ((17,1), (14,1), (5,2), (12,2), (8,2), (16,1)) ((11,2), (19,2), (17,2))
OP(21,11,5,4);0;Solved;0,2720;CriticalPath [8, 9, 10, 11];1,0355;(\infty, (14,1), (2,1), (5,2), (19,1), (4,2), (5,1), (1,2), (3,1), (0,1), (10,1), (10,2), (0,2), (3,2), (12,2), (15,1), (11,1), (4,1), (9,1), (13,2), (18,2)) ((12,1), (13,1), (6,2), (2,2), (7,1), (1,1), (8,2), (16,1), (18,1), (7,2), (14,2)) ((6,1), (17,1), (11,2), (19,2), (17,2)) ((8,1), (9,2), (15,2), (16,2))
OP(21,11,3,3,3);0;Solved;0,0730;CriticalPath [8, 9, 10, 11];0,8402;(\infty, (3,1), (4,1), (7,2), (14,1), (8,2), (16,1), (4,2), (5,1), (0,1), (10,1), (10,2), (0,2), (18,2), (6,2), (11,1), (7,1), (1,1), (9,1), (16,2), (11,2)) ((6,1), (8,1), (5,2), (19,2), (15,1), (18,1), (9,2), (13,1), (2,1), (3,2), (12,2)) ((12,1), (19,1), (1,2)) ((2,2), (15,2), (17,1)) ((13,2), (14,2), (17,2))
OP(21,10,7,3);0;Solved;0,0420;CriticalPath [8, 9, 10, 11];0,8123;(\infty, (2,1), (4,1), (11,2), (14,1), (3,2), (17,1), (2,2), (1,1), (0,1), (10,1), (10,2), (0,2), (12,2), (5,2), (3,1), (6,1), (11,1), (15,1), (14,2), (8,2)) ((13,1), (7,1), (18,2), (13,2), (19,1), (12,1), (7,2), (9,1), (18,1), (1,2)) ((9,2), (16,1), (8,1), (4,2), (6,2), (17,2), (5,1)) ((16,2), (19,2), (15,2))
OP(21,9,8,3);0;Solved;0,1740;CriticalPath [8, 9, 10, 11];1,0011;(\infty, (3,1), (17,1), (8,2), (4,1), (17,2), (5,1), (12,2), (13,1), (0,1), (10,1), (10,2), (0,2), (9,2), (4,2), (6,1), (7,1), (12,1), (8,1), (13,2), (19,2)) ((3,2), (14,1), (11,2), (15,1), (18,1), (16,1), (2,2), (1,1), (9,1)) ((1,2), (5,2), (2,1), (11,1), (6,2), (14,2), (7,2), (19,1)) ((15,2), (16,2), (18,2))
OP(21,9,7,4);0;Solved;0,0550;CriticalPath [8, 9, 10, 11];0,8253;(\infty, (15,1), (16,1), (2,2), (17,1), (6,2), (13,1), (4,2), (12,1), (0,1), (10,1), (10,2), (0,2), (13,2), (19,2), (4,1), (7,1), (14,1), (3,1), (7,2), (11,2)) ((12,2), (18,1), (5,2), (6,1), (1,1), (19,1), (1,2), (5,1), (9,1)) ((14,2), (16,2), (8,1), (2,1), (3,2), (18,2), (15,2)) ((11,1), (9,2), (17,2), (8,2))
OP(21,9,6,5);0;Solved;0,0420;CriticalPath [8, 9, 10, 11];0,8099;(\infty, (12,1), (4,1), (13,2), (15,1), (3,2), (17,1), (1,2), (19,1), (0,1), (10,1), (10,2), (0,2), (9,2), (8,2), (16,1), (9,1), (6,1), (11,1), (6,2), (12,2)) ((7,2), (13,1), (16,2), (3,1), (14,1), (18,1), (5,2), (8,1), (2,1)) ((11,2), (4,2), (5,1), (7,1), (18,2), (15,2)) ((17,2), (1,1), (2,2), (14,2), (19,2))
OP(21,9,5,3,3);0;Solved;0,1010;CriticalPath [8, 9, 10, 11];0,8989;(\infty, (17,1), (1,1), (17,2), (13,1), (2,2), (19,1), (11,2), (5,1), (0,1), (10,1), (10,2), (0,2), (12,2), (5,2), (18,1), (12,1), (11,1), (9,1), (14,2), (15,2)) ((16,2), (3,1), (18,2), (4,1), (7,1), (16,1), (7,2), (6,1), (14,1)) ((9,2), (3,2), (15,1), (8,1), (6,2)) ((1,2), (19,2), (2,1)) ((4,2), (13,2), (8,2))
OP(21,9,4,4,3);0;Solved;0,1310;CriticalPath [8, 9, 10, 11];0,9269;(\infty, (3,1), (4,1), (3,2), (1,1), (19,2), (2,1), (7,2), (6,1), (0,1), (10,1), (10,2), (0,2), (16,2), (15,2), (11,1), (7,1), (5,1), (12,1), (4,2), (13,2)) ((6,2), (13,1), (8,2), (17,1), (8,1), (16,1), (2,2), (14,1), (19,1)) ((1,2), (9,2), (15,1), (18,1)) ((5,2), (11,2), (18,2), (9,1)) ((12,2), (14,2), (17,2))
