OP_Name;Instance;Status;LabellingTime;Notes;TotalTime;Solution
OP(45,5,3);0;Solved;0,4050;CriticalPath [28, 29, 30, 31];3,6703;(\infty, (21,1), (9,2), (23,1), (16,2), (12,2), (4,1), (19,2), (20,2), (15,1), (9,1), (12,1), (4,2), (3,1), (24,2), (10,2), (7,2), (18,2), (8,2), (6,2), (7,1), (11,2), (5,1), (20,1), (16,1), (14,1), (2,1), (25,2), (8,1), (0,1), (13,1), (13,2), (0,2), (6,1), (22,2), (17,2), (19,1), (24,1), (17,1), (1,2), (25,1), (2,2), (21,2), (15,2), (23,2)) ((18,1), (3,2), (22,1), (5,2), (14,2)) ((10,1), (1,1), (11,1))
OP(43,7,3);0;Solved;0,5910;CriticalPath [0, 1, 2, 3];1,9818;(\infty, (0,1), (13,1), (13,2), (0,2), (23,2), (21,2), (5,2), (11,1), (12,2), (8,2), (17,2), (10,1), (19,2), (18,2), (23,1), (7,2), (25,2), (1,1), (19,1), (12,1), (16,2), (5,1), (10,2), (15,2), (3,2), (14,2), (6,1), (20,2), (1,2), (24,1), (9,1), (21,1), (25,1), (11,2), (18,1), (24,2), (2,1), (22,1), (20,1), (9,2), (7,1), (4,2)) ((8,1), (17,1), (14,1), (4,1), (22,2), (2,2), (3,1)) ((15,1), (6,2), (16,1))
OP(41,9,3);0;Solved;1,4650;CriticalPath [36, 37, 38, 39];2,8177;(\infty, (20,1), (4,2), (21,1), (6,2), (10,2), (4,1), (20,2), (12,2), (17,1), (11,2), (14,1), (7,2), (19,1), (17,2), (15,2), (24,2), (18,2), (23,2), (8,2), (12,1), (3,2), (2,1), (7,1), (6,1), (3,1), (25,1), (1,2), (24,1), (5,2), (1,1), (19,2), (9,2), (23,1), (2,2), (16,2), (8,1), (0,1), (13,1), (13,2), (0,2)) ((22,2), (25,2), (10,1), (22,1), (11,1), (5,1), (15,1), (14,2), (21,2)) ((16,1), (9,1), (18,1))
OP(41,7,5);0;Solved;0,8170;CriticalPath [28, 29, 30, 31];2,2013;(\infty, (21,1), (1,2), (23,1), (2,2), (16,2), (18,1), (4,2), (14,2), (4,1), (6,1), (10,1), (3,2), (1,1), (22,2), (23,2), (19,2), (24,2), (9,2), (12,2), (15,1), (6,2), (3,1), (11,1), (22,1), (12,1), (24,1), (5,2), (20,1), (0,1), (13,1), (13,2), (0,2), (25,1), (7,2), (25,2), (9,1), (2,1), (7,1), (21,2), (15,2)) ((18,2), (20,2), (11,2), (17,1), (16,1), (8,2), (19,1)) ((10,2), (17,2), (8,1), (5,1), (14,1))
OP(41,5,4,3);0;Solved;0,2580;CriticalPath [11, 12, 13, 14];1,6168;(\infty, (24,1), (5,2), (2,1), (23,2), (18,2), (4,1), (22,2), (19,2), (8,1), (14,2), (10,1), (0,1), (13,1), (13,2), (0,2), (6,2), (7,2), (21,2), (10,2), (14,1), (3,2), (12,1), (9,1), (17,1), (19,1), (15,1), (16,2), (11,1), (20,2), (18,1), (11,2), (9,2), (25,1), (15,2), (24,2), (16,1), (23,1), (3,1), (2,2), (12,2)) ((17,2), (25,2), (1,1), (22,1), (5,1)) ((1,2), (7,1), (4,2), (8,2)) ((6,1), (20,1), (21,1))
OP(39,11,3);0;Solved;0,2290;CriticalPath [28, 29, 30, 31];1,5668;(\infty, (1,1), (25,2), (24,2), (21,2), (19,2), (2,1), (22,2), (5,2), (3,1), (6,2), (5,1), (15,2), (6,1), (7,1), (14,1), (4,2), (9,1), (18,1), (3,2), (21,1), (2,2), (16,1), (24,1), (19,1), (25,1), (15,1), (8,2), (4,1), (0,1), (13,1), (13,2), (0,2), (20,1), (16,2), (10,2), (22,1), (11,2), (23,2)) ((7,2), (12,2), (20,2), (1,2), (17,2), (12,1), (10,1), (9,2), (17,1), (14,2), (18,2)) ((11,1), (23,1), (8,1))
OP(39,9,5);0;Solved;0,5310;CriticalPath [1, 2, 3, 4];1,8763;(\infty, (22,1), (0,1), (13,1), (13,2), (0,2), (5,1), (3,2), (9,2), (8,1), (17,2), (12,1), (24,1), (7,1), (21,2), (11,2), (23,2), (25,2), (14,2), (7,2), (16,1), (2,2), (17,1), (20,1), (18,1), (23,1), (15,1), (18,2), (3,1), (22,2), (4,1), (10,2), (5,2), (1,1), (24,2), (1,2), (2,1), (12,2), (20,2)) ((19,1), (9,1), (16,2), (15,2), (6,2), (10,1), (11,1), (19,2), (25,1)) ((8,2), (4,2), (14,1), (21,1), (6,1))
OP(39,7,4,3);0;Solved;0,0600;CriticalPath [11, 12, 13, 14];1,3958;(\infty, (2,1), (23,2), (7,2), (11,2), (16,2), (4,1), (20,2), (21,2), (3,1), (2,2), (21,1), (0,1), (13,1), (13,2), (0,2), (15,2), (8,2), (14,2), (5,2), (17,1), (18,2), (14,1), (16,1), (15,1), (25,1), (22,1), (6,2), (9,1), (24,2), (7,1), (3,2), (17,2), (8,1), (19,2), (1,2), (24,1), (20,1), (22,2)) ((25,2), (1,1), (9,2), (12,2), (10,2), (5,1), (19,1)) ((4,2), (10,1), (18,1), (11,1)) ((12,1), (6,1), (23,1))
OP(39,6,5,3);0;Solved;0,0630;CriticalPath [0, 1, 2, 3];1,4120;(\infty, (0,1), (13,1), (13,2), (0,2), (3,2), (4,2), (9,2), (15,2), (7,1), (6,2), (14,2), (9,1), (11,1), (8,2), (17,2), (25,1), (10,2), (20,2), (16,1), (21,1), (3,1), (14,1), (23,1), (7,2), (5,2), (1,2), (5,1), (22,2), (11,2), (23,2), (8,1), (20,1), (24,1), (18,1), (15,1), (16,2), (4,1), (2,2)) ((1,1), (2,1), (18,2), (12,1), (19,1), (21,2)) ((10,1), (24,2), (17,1), (12,2), (19,2)) ((6,1), (22,1), (25,2))
OP(39,5,3,3,3);0;Solved;0,7500;CriticalPath [28, 29, 30, 31];2,0943;(\infty, (25,1), (1,2), (17,1), (16,2), (24,2), (8,1), (15,2), (3,2), (20,1), (10,1), (3,1), (8,2), (22,1), (19,2), (23,2), (12,2), (22,2), (20,2), (21,2), (4,1), (10,2), (21,1), (23,1), (12,1), (6,1), (11,1), (6,2), (14,1), (0,1), (13,1), (13,2), (0,2), (2,1), (5,2), (25,2), (5,1), (9,1), (17,2)) ((11,2), (18,1), (14,2), (9,2), (18,2)) ((1,1), (24,1), (2,2)) ((19,1), (4,2), (7,2)) ((7,1), (15,1), (16,1))
