OP_Name,Instance,Status,LabellingTime,Notes,TotalTime,Solution
"OP(29,13,3)",0,Solved,"0,7770","CriticalPath [9, 10, 11, 12]","1,7339","(\infty, (17,1), (3,2), (16,1), (10,2), (15,1), (5,2), (14,1), (7,2), (2,1), (0,1), (11,1), (11,2), (0,2), (18,2), (19,2), (16,2), (6,1), (5,1), (12,1), (18,1), (8,1), (15,2), (21,2), (7,1), (3,1), (6,2), (20,2), (13,2)) ((13,1), (21,1), (1,2), (19,1), (10,1), (8,2), (9,1), (4,1), (1,1), (2,2), (12,2), (14,2), (9,2)) ((17,2), (4,2), (20,1)) "
"OP(29,11,5)",0,Solved,"0,9210","CriticalPath [9, 10, 11, 12]","1,8832","(\infty, (1,1), (8,2), (5,1), (7,2), (15,1), (3,2), (13,1), (9,2), (16,1), (0,1), (11,1), (11,2), (0,2), (14,2), (15,2), (17,2), (9,1), (21,1), (20,1), (6,1), (8,1), (12,2), (18,2), (12,1), (17,1), (4,2), (16,2), (13,2)) ((18,1), (3,1), (20,2), (4,1), (7,1), (5,2), (14,1), (10,1), (19,1), (2,2), (19,2)) ((1,2), (10,2), (6,2), (21,2), (2,1)) "
"OP(29,9,7)",0,Solved,"0,0450","CriticalPath [9, 10, 11, 12]","1,0453","(\infty, (2,1), (7,2), (4,1), (21,2), (14,1), (4,2), (18,1), (2,2), (1,1), (0,1), (11,1), (11,2), (0,2), (13,2), (6,2), (8,1), (16,1), (3,2), (10,1), (7,1), (5,1), (15,2), (12,2), (15,1), (20,1), (16,2), (18,2), (10,2)) ((13,1), (17,1), (8,2), (9,1), (19,1), (1,2), (21,1), (12,1), (6,1)) ((17,2), (5,2), (9,2), (14,2), (20,2), (19,2), (3,1)) "
"OP(29,9,4,3)",0,Solved,"0,2300","CriticalPath [9, 10, 11, 12]","1,1644","(\infty, (5,1), (2,2), (4,1), (3,2), (9,1), (4,2), (1,1), (5,2), (21,1), (0,1), (11,1), (11,2), (0,2), (7,2), (17,2), (7,1), (19,1), (6,2), (16,1), (8,1), (17,1), (8,2), (13,2), (6,1), (12,1), (14,2), (15,2), (21,2)) ((20,1), (3,1), (18,2), (10,1), (14,1), (19,2), (18,1), (15,1), (13,1)) ((9,2), (1,2), (10,2), (12,2)) ((16,2), (20,2), (2,1)) "
"OP(29,8,5,3)",0,Solved,"0,0630","CriticalPath [9, 10, 11, 12]","0,9989","(\infty, (3,1), (5,2), (4,1), (1,2), (7,1), (17,2), (5,1), (13,2), (8,1), (0,1), (11,1), (11,2), (0,2), (21,2), (19,2), (12,2), (9,1), (12,1), (21,1), (14,1), (2,1), (6,2), (10,2), (1,1), (6,1), (2,2), (16,2), (7,2)) ((13,1), (15,1), (8,2), (16,1), (10,1), (9,2), (18,1), (17,1)) ((19,1), (3,2), (20,2), (14,2), (4,2)) ((15,2), (18,2), (20,1)) "
"OP(29,7,6,3)",0,Solved,"0,1290","CriticalPath [9, 10, 11, 12]","1,0494","(\infty, (1,1), (2,2), (8,1), (1,2), (3,1), (5,2), (2,1), (21,2), (9,1), (0,1), (11,1), (11,2), (0,2), (8,2), (20,2), (13,2), (4,1), (21,1), (15,1), (13,1), (12,1), (19,2), (15,2), (16,1), (19,1), (14,2), (12,2), (17,2)) ((17,1), (10,1), (16,2), (6,1), (20,1), (3,2), (7,1)) ((14,1), (18,1), (4,2), (10,2), (7,2), (6,2)) ((18,2), (9,2), (5,1)) "
"OP(29,7,5,4)",0,Solved,"0,3380","CriticalPath [9, 10, 11, 12]","1,2774","(\infty, (5,1), (7,2), (19,1), (13,2), (20,1), (4,2), (7,1), (3,2), (12,1), (0,1), (11,1), (11,2), (0,2), (12,2), (14,2), (21,2), (1,1), (6,1), (13,1), (10,1), (16,1), (20,2), (19,2), (2,1), (4,1), (16,2), (8,2), (5,2)) ((21,1), (8,1), (17,2), (9,1), (17,1), (2,2), (3,1)) ((14,1), (15,1), (18,2), (9,2), (15,2)) ((10,2), (6,2), (1,2), (18,1)) "
"OP(29,7,3,3,3)",0,Solved,"0,2100","CriticalPath [9, 10, 11, 12]","1,1420","(\infty, (10,1), (15,2), (6,1), (18,2), (5,1), (19,2), (2,1), (17,2), (15,1), (0,1), (11,1), (11,2), (0,2), (9,2), (14,2), (16,2), (13,1), (14,1), (20,1), (17,1), (12,1), (13,2), (21,2), (1,1), (19,1), (7,2), (6,2), (12,2)) ((7,1), (21,1), (3,2), (18,1), (8,1), (5,2), (9,1)) ((16,1), (3,1), (2,2)) ((1,2), (4,2), (8,2)) ((20,2), (10,2), (4,1)) "
"OP(29,5,4,4,3)",0,Solved,"0,1730","CriticalPath [9, 10, 11, 12]","1,2352","(\infty, (12,1), (6,2), (9,1), (15,2), (6,1), (19,2), (16,1), (2,2), (19,1), (0,1), (11,1), (11,2), (0,2), (18,2), (3,2), (10,1), (2,1), (1,2), (3,1), (21,1), (5,1), (7,2), (13,2), (17,1), (4,1), (5,2), (14,2), (16,2)) ((1,1), (13,1), (17,2), (7,1), (8,1)) ((10,2), (18,1), (20,1), (15,1)) ((20,2), (12,2), (9,2), (8,2)) ((4,2), (21,2), (14,1)) "
"OP(28,9,5,3)",0,Solved,"0,0810","CriticalPath [9, 10, 11, 12]","1,0271","(\infty, (1,1), (4,2), (8,1), (5,2), (6,1), (7,2), (17,1), (8,2), (15,1), (0,1), (11,1), (11,2), (0,2), (9,2), (10,2), (12,2), (7,1), (12,1), (20,1), (21,1), (9,1), (16,2), (2,2), (18,1), (5,1), (14,2), (17,2)) ((18,2), (10,1), (14,1), (16,1), (19,1), (13,1), (15,2), (20,2), (4,1)) ((2,1), (6,2), (21,2), (3,2), (19,2)) ((1,2), (13,2), (3,1)) "
